instance, time, ranking
pc_us.txt, 0.23, 1
ean.txt, 1.01, 2
time2.txt, 3.21, 3
id1.txt, 4.95, 4
id2.txt, 5.42, 5
cc.txt, 5.73, 6
grid.txt, 11.06, 7
time1.txt, 15.03, 8
pc_us2.txt, 17.43, 9
pn_us.txt, 18.87, 10
ein.txt, 28.4, 11
color2.txt, 149.12, 12
id_cl.txt, 190.19, 13
id_es.txt, 218.95, 14
pc_nl.txt, 339.74, 15
hexa.txt, 379.24, 16
pc_al.txt, 795.33, 17
signed.txt, 2150.42, 18
isbn10.txt, 2326.11, 19
vr_uk.txt, 3603.33, 20
email_simple.txt, 3603.64, 21
vr_pt2.txt, 3605.35, 22
pc_lx2.txt, 3605.42, 23
id_mx.txt, 3605.8, 24
domain.txt, 3605.82, 25
id_pt.txt, 3607.4, 26
vr_pt.txt, 3607.46, 27
dollar2.txt, 3609.2, 28
vr_no.txt, 3609.36, 29
id_kr.txt, 3609.65, 30
vr_ke.txt, 3611.52, 31
dollar.txt, 3611.55, 32
pc_lx.txt, 3611.83, 33
vr_it.txt, 3613.35, 34
id_es2.txt, 3613.37, 35
id_fi.txt, 3613.41, 36
vr_fi.txt, 3615.56, 37
pc_ca.txt, 3615.61, 38
mac.txt, 3617.29, 39
color.txt, 3617.33, 40
vr_es.txt, 3617.37, 41
id_dk.txt, 3617.48, 42
date2.txt, 3617.49, 43
cc3.txt, 3617.54, 44
id_ch.txt, 3619.36, 45
isbn.txt, 3619.4, 46
vr_dk.txt, 3619.44, 47
date.txt, 3619.46, 48
date6.txt, 3619.6, 49
ipv6.txt, 3621.33, 50
cc2.txt, 3621.44, 51
date5.txt, 3621.44, 52
uuid.txt, 3622.24, 53
date4.txt, 3623.47, 54
iban_pt.txt, 3624.38, 55
date3.txt, 3625.24, 56
ssn.txt, 3625.68, 57
ipv4.txt, 3625.75, 58
iban.txt, 3627.64, 59
datetime.txt, 3629.23, 60
imeisv.txt, 3629.41, 61
pc_uk.txt, 3629.52, 62
gstin.txt, 3629.57, 63
date7.txt, 3631.28, 64
pc_pt.txt, 3631.33, 65
imei.txt, 3633.54, 66
grid2.txt, 3633.94, 67
id_se.txt, 3635.51, 68
dec.txt, 4000, 69
