instance,time,ranking
pc_us.txt,0.18,1
time2.txt,0.44,2
id2.txt,0.55,3
id_es.txt,0.55,4
vr_es.txt,0.55,5
vr_no.txt,0.64,6
time1.txt,0.71,7
vr_fi.txt,0.73,8
pc_us2.txt,0.75,9
dec.txt,0.78,10
id_se.txt,0.89,11
pc_nl.txt,1,12
id_dk.txt,1.01,13
ean.txt,1.12,14
ein.txt,1.16,15
vr_uk.txt,1.28,16
id_kr.txt,1.62,17
date.txt,1.81,18
id_es2.txt,1.87,19
color2.txt,2.33,20
id_cl.txt,2.77,21
ssn.txt,2.81,22
vr_pt2.txt,3.24,23
date3.txt,3.47,24
vr_dk.txt,3.98,25
pn_us.txt,4,26
vr_it.txt,4.04,27
date5.txt,5.08,28
pc_lx2.txt,5.09,29
cc.txt,5.53,30
pc_pt.txt,6.4,31
hexa.txt,9.38,32
imei.txt,9.85,33
grid.txt,11.78,34
date2.txt,15.35,35
id_ch.txt,19.8,36
grid2.txt,20.22,37
pc_lx.txt,30.89,38
cc2.txt,37.62,39
id1.txt,38.11,40
cc3.txt,39.92,41
imeisv.txt,59.62,42
date4.txt,67.79,43
ipv4.txt,103.86,44
date7.txt,185.49,45
date6.txt,188.75,46
vr_ke.txt,1208.85,47
datetime.txt,1229.34,48
signed.txt,2005.84,49
iban_pt.txt,2239.93,50
isbn10.txt,2336.46,51
pc_al.txt,2386.06,52
vr_pt.txt,3603.57,53
uuid.txt,3605.78,54
pc_uk.txt,3607.8,55
pc_ca.txt,3609.51,56
mac.txt,3611.68,57
isbn.txt,3613.56,58
ipv6.txt,3615.51,59
id_pt.txt,3617.49,60
color.txt,3619.53,61
id_mx.txt,3619.9,62
id_fi.txt,3623.5,63
iban.txt,3625.22,64
domain.txt,3625.41,65
dollar2.txt,3627.44,66
gstin.txt,3627.46,67
email_simple.txt,3629.53,68
dollar.txt,3631.42,69
