instance, time, ranking
pc_us.txt, 0.11, 1
time1.txt, 0.17, 2
dec.txt, 0.2, 3
id2.txt, 0.21, 4
time2.txt, 0.21, 5
id_es.txt, 0.24, 6
vr_es.txt, 0.26, 7
date2.txt, 0.27, 8
pc_nl.txt, 0.27, 9
ein.txt, 0.29, 10
vr_dk.txt, 0.31, 11
date3.txt, 0.33, 12
color2.txt, 0.36, 13
date4.txt, 0.36, 14
date5.txt, 0.37, 15
ean.txt, 0.38, 16
pc_pt.txt, 0.42, 17
vr_fi.txt, 0.42, 18
vr_no.txt, 0.53, 19
ssn.txt, 0.54, 20
hexa.txt, 0.56, 21
id_cl.txt, 0.57, 22
id_se.txt, 0.57, 23
date.txt, 0.58, 24
pc_us2.txt, 0.61, 25
id_dk.txt, 0.62, 26
vr_it.txt, 0.78, 27
vr_pt2.txt, 0.93, 28
pc_lx2.txt, 1.01, 29
vr_uk.txt, 1.02, 30
imeisv.txt, 1.04, 31
id1.txt, 1.05, 32
id_kr.txt, 1.13, 33
id_es2.txt, 1.22, 34
imei.txt, 1.46, 35
id_ch.txt, 1.58, 36
pn_us.txt, 1.74, 37
ipv4.txt, 1.92, 38
pc_lx.txt, 4.17, 39
grid.txt, 4.61, 40
color.txt, 4.83, 41
pc_ca.txt, 7.33, 42
pc_al.txt, 9.21, 43
datetime.txt, 12.25, 44
grid2.txt, 12.7, 45
cc2.txt, 23.47, 46
cc3.txt, 28.82, 47
mac.txt, 35.44, 48
date7.txt, 40.05, 49
date6.txt, 40.27, 50
iban_pt.txt, 214.39, 51
cc.txt, 223.89, 52
ipv6.txt, 297.64, 53
vr_ke.txt, 402.4, 54
signed.txt, 484.95, 55
dollar.txt, 4000, 56
dollar2.txt, 4000, 57
domain.txt, 4000, 58
email_simple.txt, 4000, 59
gstin.txt, 4000, 60
iban.txt, 4000, 61
id_fi.txt, 4000, 62
id_mx.txt, 4000, 63
id_pt.txt, 4000, 64
isbn.txt, 4000, 65
isbn10.txt, 4000, 66
pc_uk.txt, 4000, 67
uuid.txt, 4000, 68
vr_pt.txt, 4000, 69
