instance, time, ranking
pc_us.txt, 0.21, 1
ean.txt, 1.08, 2
time2.txt, 2.59, 3
cc.txt, 6.02, 4
id2.txt, 11.91, 5
pn_us.txt, 16.61, 6
pc_us2.txt, 17.44, 7
ein.txt, 24.39, 8
grid.txt, 34.8, 9
pc_nl.txt, 232.19, 10
time1.txt, 350.69, 11
id_cl.txt, 832.58, 12
id_es.txt, 862.57, 13
color2.txt, 1281.58, 14
hexa.txt, 3055.43, 15
vr_uk.txt, 3603.6, 16
cc3.txt, 3605.48, 17
pc_pt.txt, 3605.64, 18
vr_pt2.txt, 3605.65, 19
vr_pt.txt, 3607.35, 20
domain.txt, 3607.43, 21
cc2.txt, 3607.64, 22
grid2.txt, 3609.11, 23
email_simple.txt, 3609.21, 24
dollar2.txt, 3609.24, 25
vr_no.txt, 3611.4, 26
gstin.txt, 3611.43, 27
dollar.txt, 3611.53, 28
pc_lx2.txt, 3611.82, 29
dec.txt, 3613.31, 30
id_se.txt, 3613.45, 31
vr_ke.txt, 3613.59, 32
id_kr.txt, 3615.19, 33
pc_lx.txt, 3615.4, 34
vr_it.txt, 3615.62, 35
id_mx.txt, 3617.09, 36
id_pt.txt, 3617.16, 37
vr_fi.txt, 3617.51, 38
id_fi.txt, 3619.17, 39
vr_es.txt, 3619.4, 40
pc_ca.txt, 3619.41, 41
id_es2.txt, 3621.45, 42
vr_dk.txt, 3621.46, 43
pc_al.txt, 3621.47, 44
datetime.txt, 3621.83, 45
mac.txt, 3623.78, 46
uuid.txt, 3623.92, 47
id_dk.txt, 3625.32, 48
date6.txt, 3625.73, 49
isbn10.txt, 3627.2, 50
ssn.txt, 3627.6, 51
date5.txt, 3627.63, 52
isbn.txt, 3629.39, 53
id_ch.txt, 3629.61, 54
signed.txt, 3629.61, 55
pc_uk.txt, 3631.76, 56
date4.txt, 3631.89, 57
ipv6.txt, 3631.93, 58
iban_pt.txt, 3634.88, 59
ipv4.txt, 3635.97, 60
date2.txt, 3637.46, 61
iban.txt, 3637.87, 62
imeisv.txt, 3639.94, 63
imei.txt, 3643.54, 64
