instance, time, ranking
pc_us.txt, 0.17, 1
ean.txt, 0.53, 2
cc.txt, 1.05, 3
grid.txt, 4.08, 4
time2.txt, 67.15, 5
ein.txt, 67.78, 6
pc_us2.txt, 69.79, 7
id2.txt, 75.16, 8
pn_us.txt, 427.45, 9
ssn.txt, 428.73, 10
pc_nl.txt, 1429.56, 11
time1.txt, 1458.88, 12
vr_uk.txt, 3603.34, 13
domain.txt, 3603.44, 14
vr_pt2.txt, 3605.28, 15
vr_pt.txt, 3607.27, 16
pc_lx.txt, 3609.33, 17
vr_no.txt, 3609.34, 18
dollar.txt, 3611.3, 19
pc_ca.txt, 3611.31, 20
vr_ke.txt, 3611.31, 21
pc_al.txt, 3613.31, 22
dec.txt, 3613.34, 23
vr_it.txt, 3613.34, 24
vr_fi.txt, 3615.33, 25
mac.txt, 3615.35, 26
cc3.txt, 3617.11, 27
vr_es.txt, 3617.29, 28
isbn10.txt, 3617.34, 29
id_mx.txt, 3617.46, 30
vr_dk.txt, 3619.29, 31
isbn.txt, 3619.36, 32
grid2.txt, 3621.24, 33
ipv6.txt, 3621.28, 34
uuid.txt, 3621.3, 35
id_kr.txt, 3622.42, 36
signed.txt, 3623.3, 37
ipv4.txt, 3623.37, 38
pc_uk.txt, 3625.24, 39
imeisv.txt, 3625.35, 40
imei.txt, 3627.38, 41
pc_pt.txt, 3627.46, 42
pc_lx2.txt, 3629.13, 43
dollar2.txt, 3629.22, 44
id_se.txt, 3629.36, 45
email_simple.txt, 3631.26, 46
id_fi.txt, 3631.32, 47
id_es2.txt, 3633.33, 48
id_es.txt, 3635.33, 49
datetime.txt, 3635.36, 50
date6.txt, 3637.37, 51
id_dk.txt, 3637.38, 52
id_cl.txt, 3639.35, 53
date5.txt, 3639.37, 54
id_ch.txt, 3641.32, 55
date4.txt, 3641.34, 56
iban_pt.txt, 3643.36, 57
date2.txt, 3645.35, 58
iban.txt, 3645.37, 59
hexa.txt, 3647.33, 60
color2.txt, 3647.37, 61
gstin.txt, 3649.38, 62
cc2.txt, 4000, 63
id_pt.txt, 4000, 64
