instance, time, ranking
pc_us       ,0.17   ,1 
id1         ,0.28   ,2 
time1       ,0.37   ,3 
id2         ,0.42   ,4 
id_es       ,0.47   ,5 
vr_es       ,0.47   ,5 
vr_no       ,0.53   ,7 
time2       ,0.65   ,8 
ean         ,0.76   ,9 
id_se       ,0.78   ,10
id_dk       ,0.8    ,11
ein         ,0.81   ,12
pc_us2      ,0.81   ,12
id_kr       ,1.12   ,14
vr_uk       ,1.15   ,15
id_es2      ,1.23   ,16
cc          ,1.31   ,17
color       ,1.48   ,18
pc_nl       ,1.56   ,19
date3       ,1.83   ,20
date5       ,1.92   ,21
dec         ,2.05   ,22
ssn         ,2.4    ,23
vr_fi       ,2.82   ,24
date2       ,2.85   ,25
pn_us       ,3.23   ,26
grid        ,3.27   ,27
vr_it       ,3.46   ,28
date        ,4.35   ,29
vr_pt2      ,4.99   ,30
pc_pt       ,5.51   ,31
imei        ,7.37   ,32
date4       ,7.48   ,33
vr_dk       ,7.6    ,34
id_cl       ,8.48   ,35
imeisv      ,15.3   ,36
id_ch       ,15.37  ,37
ipv4        ,16.32  ,38
cc2         ,21     ,39
cc3         ,24.5   ,40
datetime2   ,42.25  ,41
hexa        ,68.29  ,42
datetime    ,84.99  ,43
grid2       ,203.57 ,44
date6       ,226.75 ,45
isbn10      ,229.68 ,46
signed      ,252.37 ,47
pc_ca       ,2645.36,48
id_pt       ,3601.56,49
vr_pt       ,3603.51,50
vr_ke       ,3605   ,51
uuid        ,3607.34,52
pc_uk       ,3609.32,53
mac         ,3611.38,54
isbn        ,3613.26,55
ipv6        ,3615.21,56
dollar      ,3615.42,57
domain      ,4844.65,58
iban_pt     ,4985.41,59
email_simple,5082.98,60
gstin       ,5140.66,61
iban        ,5229.05,62
id_mx       ,5315.18,63
id_fi       ,5317.26,64
