instance, time, ranking
pc_us.txt, 0.18, 1
id2.txt, 0.4, 2
id_es.txt, 0.51, 3
time2.txt, 0.62, 4
ean.txt, 0.98, 5
time1.txt, 1.12, 6
vr_no.txt, 1.47, 7
pc_nl.txt, 1.81, 8
vr_fi.txt, 2.01, 9
vr_es.txt, 2.05, 10
dec.txt, 2.15, 11
color2.txt, 2.9, 12
ein.txt, 3.0, 13
pc_us2.txt, 3.54, 14
pc_lx.txt, 3.92, 15
pc_lx2.txt, 4.12, 16
pc_al.txt, 4.32, 17
id_se.txt, 6.08, 18
id_dk.txt, 6.33, 19
cc.txt, 6.47, 20
vr_dk.txt, 11.77, 21
vr_it.txt, 14.37, 22
vr_uk.txt, 15.21, 23
id_es2.txt, 15.25, 24
date5.txt, 18.44, 25
id_kr.txt, 19.87, 26
ssn.txt, 22.31, 27
hexa.txt, 23.08, 28
date6.txt, 25.0, 29
date4.txt, 30.75, 30
grid.txt, 35.97, 31
date2.txt, 38.65, 32
id_cl.txt, 126.57, 33
imei.txt, 342.16, 34
pc_pt.txt, 542.55, 35
pn_us.txt, 1045.08, 36
id_ch.txt, 1679.0, 37
ipv4.txt, 2725.46, 38
cc3.txt, 3603.34, 39
vr_pt2.txt, 3603.57, 40
cc2.txt, 3605.49, 41
vr_ke.txt, 3605.6, 42
datetime.txt, 3607.44, 43
signed.txt, 3607.58, 44
pc_uk.txt, 3609.63, 45
pc_ca.txt, 3611.51, 46
mac.txt, 3613.7, 47
isbn10.txt, 3615.48, 48
isbn.txt, 3617.6, 49
ipv6.txt, 3619.62, 50
imeisv.txt, 3621.63, 51
id_pt.txt, 3623.62, 52
id_mx.txt, 3625.17, 53
email_simple.txt, 3625.46, 54
iban_pt.txt, 3625.76, 55
gstin.txt, 3627.77, 56
domain.txt, 3627.82, 57
id_fi.txt, 3629.66, 58
iban.txt, 3629.96, 59
uuid.txt, 3631.27, 60
grid2.txt, 3631.44, 61
dollar2.txt, 3631.76, 62
dollar.txt, 3633.48, 63
vr_pt.txt, 3693.13, 64
