instance, time, ranking
hexa.txt, 0.01, 1
id2.txt, 0.01, 2
pc_us.txt, 0.01, 3
ean.txt, 0.012, 4
id1.txt, 0.015, 5
pc_us2.txt, 0.015, 6
color2.txt, 0.021, 7
vr_no.txt, 0.023, 8
color.txt, 0.047, 9
id_dk.txt, 0.05, 10
vr_fi.txt, 0.052, 11
pc_nl.txt, 0.053, 12
time1.txt, 0.054, 13
ein.txt, 0.055, 14
id_es.txt, 0.056, 15
id_se.txt, 0.056, 16
pc_al.txt, 0.056, 17
pc_lx2.txt, 0.057, 18
vr_es.txt, 0.057, 19
id_kr.txt, 0.06, 20
vr_uk.txt, 0.061, 21
time2.txt, 0.207, 22
date6.txt, 0.567, 23
date7.txt, 0.569, 24
ipv4.txt, 0.671, 25
dec.txt, 0.728, 26
pn_us.txt, 1.075, 27
ssn.txt, 1.499, 28
cc.txt, 3.813, 29
cc3.txt, 6.807, 30
cc2.txt, 7.119, 31
id_mx.txt, 8.472, 32
signed.txt, 11.641, 33
date.txt, 13.99, 34
isbn10.txt, 14.685, 35
vr_ke.txt, 14.987, 36
date2.txt, 23.51, 37
date4.txt, 24.001, 38
pc_pt.txt, 27.167, 39
mac.txt, 42.318, 40
date3.txt, 43.399, 41
id_cl.txt, 44.99, 42
date5.txt, 51.664, 43
ipv6.txt, 72.897, 44
imeisv.txt, 118.49, 45
vr_it.txt, 119.462, 46
grid.txt, 401.872, 47
pc_lx.txt, 552.88, 48
domain.txt, 573.558, 49
iban.txt, 769.721, 50
dollar2.txt, 944.706, 51
id_es2.txt, 1470.636, 52
dollar.txt, 2591.527, 53
datetime.txt, 4000, 54
email_simple.txt, 4000, 55
grid2.txt, 4000, 56
gstin.txt, 4000, 57
iban_pt.txt, 4000, 58
id_ch.txt, 4000, 59
id_fi.txt, 4000, 60
id_pt.txt, 4000, 61
imei.txt, 4000, 62
isbn.txt, 4000, 63
pc_ca.txt, 4000, 64
pc_uk.txt, 4000, 65
uuid.txt, 4000, 66
vr_dk.txt, 4000, 67
vr_pt.txt, 4000, 68
vr_pt2.txt, 4000, 69
