instance, time, ranking
hexa.txt, 0.01, 1
id2.txt, 0.01, 2
pc_us.txt, 0.01, 3
ean.txt, 0.012, 4
pc_us2.txt, 0.015, 5
color2.txt, 0.021, 6
vr_no.txt, 0.023, 7
id_dk.txt, 0.05, 8
vr_fi.txt, 0.052, 9
pc_nl.txt, 0.053, 10
time1.txt, 0.054, 11
ein.txt, 0.055, 12
id_es.txt, 0.056, 13
id_se.txt, 0.056, 14
pc_al.txt, 0.056, 15
pc_lx2.txt, 0.057, 16
vr_es.txt, 0.057, 17
id_kr.txt, 0.06, 18
vr_uk.txt, 0.061, 19
time2.txt, 0.207, 20
date6.txt, 0.567, 21
ipv4.txt, 0.671, 22
dec.txt, 0.728, 23
pn_us.txt, 1.075, 24
ssn.txt, 1.499, 25
cc.txt, 3.813, 26
cc3.txt, 6.807, 27
cc2.txt, 7.119, 28
id_mx.txt, 8.472, 29
signed.txt, 11.641, 30
isbn10.txt, 14.685, 31
vr_ke.txt, 14.987, 32
date2.txt, 23.51, 33
date4.txt, 24.001, 34
pc_pt.txt, 27.167, 35
mac.txt, 42.318, 36
id_cl.txt, 44.99, 37
date5.txt, 51.664, 38
ipv6.txt, 72.897, 39
imeisv.txt, 118.49, 40
vr_it.txt, 119.462, 41
grid.txt, 401.872, 42
pc_lx.txt, 552.88, 43
iban.txt, 769.721, 44
dollar2.txt, 944.706, 45
id_es2.txt, 1470.636, 46
dollar.txt, 2591.527, 47
datetime.txt, 4000, 48
domain.txt, 4000, 49
email_simple.txt, 4000, 50
grid2.txt, 4000, 51
gstin.txt, 4000, 52
iban_pt.txt, 4000, 53
id_ch.txt, 4000, 54
id_fi.txt, 4000, 55
id_pt.txt, 4000, 56
imei.txt, 4000, 57
isbn.txt, 4000, 58
pc_ca.txt, 4000, 59
pc_uk.txt, 4000, 60
uuid.txt, 4000, 61
vr_dk.txt, 4000, 62
vr_pt.txt, 4000, 63
vr_pt2.txt, 4000, 64
