instance, time, ranking
id_mx       ,0.07   ,1 
pc_us       ,0.12   ,2 
ean         ,0.13   ,3 
pn_us       ,0.23   ,4 
ssn         ,0.23   ,4 
ein         ,0.25   ,6 
pc_us2      ,0.27   ,7 
cc          ,1.05   ,8 
pc_nl       ,1.16   ,9 
time2       ,2.03   ,10
iban        ,3.26   ,11
grid        ,6.68   ,12
id_es       ,15.05  ,13
domain      ,43.94  ,14
vr_uk       ,45.04  ,15
id_cl       ,46.04  ,16
vr_pt2      ,68.52  ,17
id2         ,74.41  ,18
id1         ,75.28  ,19
id_se       ,130.34 ,20
time1       ,137.68 ,21
id_dk       ,175.57 ,22
imeisv      ,697.23 ,23
isbn10      ,1291.77,24
date4       ,1702.5 ,25
dec         ,1780.27,26
date2       ,2222.18,27
cc2         ,3601   ,28
cc3         ,3601   ,28
date3       ,3601   ,28
date5       ,3601   ,28
dollar      ,3601   ,28
grid2       ,3601   ,28
gstin       ,3601   ,28
id_ch       ,3601   ,28
id_es2      ,3601   ,28
id_fi       ,3601   ,28
id_kr       ,3601   ,28
id_pt       ,3601   ,28
imei        ,3601   ,28
ipv6        ,3601   ,28
isbn        ,3601   ,28
mac         ,3601   ,28
uuid        ,3601   ,28
vr_es       ,3601   ,28
vr_pt       ,3601   ,28
color       ,4000   ,47
date        ,4000   ,47
date6       ,4000   ,47
datetime    ,4000   ,47
datetime2   ,4000   ,47
email_simple,4000   ,47
hexa        ,4000   ,47
iban_pt     ,4000   ,47
ipv4        ,4000   ,47
pc_ca       ,4000   ,47
pc_pt       ,4000   ,47
pc_uk       ,4000   ,47
signed      ,4000   ,47
vr_dk       ,4000   ,47
vr_fi       ,4000   ,47
vr_it       ,4000   ,47
vr_ke       ,4000   ,47
vr_no       ,4000   ,47
