instance,nopruning,dynamic,multitree,ktree,lines,multi-dist,regel,regel-pbe
cc.txt,6.31,5.73,5.53,6.28,0.8,4.97,3.813,0.452
cc2.txt,3604.94,3621.44,37.62,3607.71,3632.51,33.74,7.119,3601
cc3.txt,3607.41,3617.54,39.92,3605.29,3629.22,45.47,6.807,3601
color.txt,3605.4,3617.33,3619.53,3605.52,3627.18,3629.49,0.047,3601
color2.txt,3.05,149.12,2.33,1325.59,3629.44,2.14,0.021,3601
date.txt,18.21,3619.46,1.81,3607.78,3629.22,2.03,13.99,3601
date2.txt,40.56,3617.49,15.35,3639.56,3629.29,4000,23.51,106.531
date3.txt,17.89,3625.24,3.47,3637.43,3629.35,3.71,43.399,3601
date4.txt,31.3,3623.47,67.79,3633.87,3627.34,13.52,24.001,3601
date5.txt,18.96,3621.44,5.08,3630.01,3625.34,5.19,51.664,3601
date6.txt,25.12,3619.6,188.75,3627.39,3623.36,553.09,0.567,3601
date7.txt,25.12,3631.28,185.49,3625.78,3621.36,561.84,0.569,3601
datetime.txt,3605.12,3629.23,1229.34,3622.02,3619.34,4000,3601,3601
dec.txt,2.02,4000,0.78,3611.52,3615.32,0.99,0.728,84.061
dollar.txt,3633.57,3611.55,3631.42,3609.46,3613.31,3613.52,2591.527,3601
dollar2.txt,3631.73,3609.2,3627.44,3607.39,3629.45,3611.73,944.706,3601
domain.txt,3627.9,3605.82,3625.41,3605.64,3627.42,3609.35,806.189,806.189
ean.txt,0.99,1.01,1.12,1.02,0.56,0.83,0.012,0.049
ein.txt,2.99,28.4,1.16,25,66.29,0.88,0.055,123.999
email_simple.txt,3625.64,3603.64,3629.53,3607.4,3627.45,3605.7,3601,3601
grid.txt,34.77,11.06,11.78,35.49,4.1,10.27,401.872,1.044
grid2.txt,3623.45,3633.94,20.22,3607.7,3625.18,97.09,3601,3601
gstin.txt,3621.53,3629.57,3627.46,3609.47,3603.13,3609.23,3601,3601
hexa.txt,21.25,379.24,9.38,3010.6,3631.3,4000,0.01,3601
iban_pt.txt,3621.88,3624.38,2239.93,3634.36,3627.3,3605.97,3601,3601
iban.txt,3625.86,3627.64,3625.22,3637.67,3629.28,3609.53,769.721,0.396
id_ch.txt,1661.07,3619.36,19.8,3629.49,3625.29,17.8,3601,3601
id_cl.txt,117.19,190.19,2.77,952.11,3623.32,4.68,44.99,2668.618
id_dk.txt,5.85,3617.48,1.01,3625.53,3621.33,0.9,0.05,98.372
id_es.txt,0.54,218.95,0.55,840.91,3619.34,0.5,0.056,412.099
id_es2.txt,14.06,3613.37,1.87,3621.45,3617.31,1.89,1470.636,3601
id_fi.txt,3623.54,3613.41,3623.5,3619.46,3615.3,3603.53,3601,3601
id_kr.txt,19.76,3609.65,1.62,3616.07,3605.09,1.54,0.06,156.833
id_mx.txt,3629.55,3605.8,3619.9,3615.36,3605.47,3631.74,8.472,3601
id_pt.txt,3627.66,3607.4,3617.49,3615.92,3635.97,3629.71,3601,3601
id_se.txt,6.32,3635.51,0.89,3611.56,3629.37,0.95,0.056,116.417
id1.txt,36.39,4.95,38.11,10.6,4000,33.17,0.015,110.891
id2.txt,0.38,5.42,0.55,12.21,76.44,0.46,0.01,107.395
imei.txt,354.14,3633.54,9.85,3639.62,3627.37,9.93,3601,3601
imeisv.txt,3625.47,3629.41,59.62,3635.89,3625.38,166.28,118.49,3601
ipv4.txt,2732.47,3625.75,103.86,3632.03,3623.32,67.37,0.671,3601
ipv6.txt,3623.65,3621.33,3615.51,3627.72,3621.3,3621.31,72.897,3601
isbn.txt,3621.44,3619.4,3613.56,3625.62,3619.3,3619.29,3601,3601
isbn10.txt,3619.52,2326.11,2336.46,3623.44,3617.35,2111.64,14.685,27.412
mac.txt,3617.52,3617.29,3611.68,3621.01,3615.33,89.26,42.318,3601
pc_al.txt,4.53,795.33,2386.06,3617.38,3613.32,4000,0.056,93.333
pc_ca.txt,3615.6,3615.61,3609.51,3615.78,3611.32,3619.31,3601,3601
pc_lx.txt,3.92,3611.83,30.89,3611.86,3609.32,61.51,552.88,3601
pc_lx2.txt,4.22,3605.42,5.09,3609.36,3629.27,13.64,0.057,37.202
pc_nl.txt,1.84,339.74,1,224.12,1412.94,4.95,0.053,1.642
pc_pt.txt,536.65,3631.33,6.4,3610.05,3627.52,4000,27.167,3601
pc_uk.txt,3613.75,3629.52,3607.8,3607.67,3625.27,3627.43,3601,3601
pc_us.txt,0.18,0.23,0.18,0.2,0.18,0.16,0.01,0.052
pc_us2.txt,3.6,17.43,0.75,17.13,69.79,0.6,0.015,1.485
pn_us.txt,1088.56,18.87,4,16.35,427.14,3.61,1.075,2589.069
signed.txt,3611.35,2150.42,2005.84,3633.77,3623.42,2023.67,11.641,2026.919
ssn.txt,24.75,3625.68,2.81,3630.25,425.69,2.68,1.499,154.687
time1.txt,0.89,15.03,0.71,351.76,1444.5,0.75,0.054,90.593
time2.txt,0.77,3.21,0.44,2.52,66.46,0.33,0.207,62.445
uuid.txt,3609.49,3622.24,3605.78,3626.16,3621.33,3625.52,3601,3601
vr_dk.txt,9.8,3619.44,3.98,3623.73,3619.34,15.47,3601,3601
vr_es.txt,1.66,3617.37,0.55,3621.48,3617.36,0.51,0.057,221.21
vr_fi.txt,1.73,3615.56,0.73,3618.05,3615.37,1.31,0.052,195.821
vr_it.txt,10.51,3613.35,4.04,3613.51,3613.38,4000,119.462,3601
vr_ke.txt,3607.34,3611.52,1208.85,3611.63,3611.39,2401.69,14.987,3601
vr_no.txt,1.54,3609.36,0.64,3609.59,3609.37,0.62,0.023,188.837
vr_pt.txt,3605.47,3607.46,3603.57,3607.52,3607.34,3602.51,3601,3601
vr_pt2.txt,3603.55,3605.35,3.24,3605.36,3605.34,9.98,3601,3601
vr_uk.txt,14.14,3603.33,1.28,3603.57,3603.35,1.14,0.061,3601
